Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
83,146,106,3,1,78.3,3,caught,1,Australia,Adelaide,10-Feb-06,ODI # 2326
13,18,13,3,0,100,3,bowled,2,Australia,Sydney,12-Feb-06,ODI # 2328
59,-,85,5,0,69.41,3,lbw,1,Australia,Brisbane,14-Feb-06,ODI # 2330
50,85,62,7,1,80.64,3,caught,2,Bangladesh,Bogra,20-Feb-06,ODI # 2334
23,78,54,1,0,42.59,3,caught,1,Bangladesh,Bogra,22-Feb-06,ODI # 2336
109,200,125,11,0,87.2,3,bowled,1,Bangladesh,Chattogram,25-Feb-06,ODI # 2338
TDNB,-,-,-,-,-,-,-,-,Pakistan,Colombo (RPS),17-Mar-06,ODI # 2351
1,13,11,0,0,9.09,3,lbw,1,Pakistan,Colombo (RPS),19-Mar-06,ODI # 2352
22,59,27,3,0,81.48,3,caught,1,Pakistan,Colombo (SSC),22-Mar-06,ODI # 2354
15,27,18,2,0,83.33,4,run out,1,England,Lord's,17-Jun-06,ODI # 2384
51,57,41,5,1,124.39,4,caught,1,England,The Oval,20-Jun-06,ODI # 2385
58*,99,76,5,0,76.31,4,not out,2,England,Chester-le-Street,24-Jun-06,ODI # 2386
7,17,15,0,0,46.66,4,caught,1,England,Manchester,28-Jun-06,ODI # 2388
23*,20,19,4,0,121.05,4,not out,2,England,Leeds,01-Jul-06,ODI # 2389
46,68,43,5,0,106.97,4,caught,1,Netherlands,Amstelveen,04-Jul-06,ODI # 2390
28,36,30,3,0,93.33,3,caught,1,Netherlands,Amstelveen,06-Jul-06,ODI # 2391
TDNB,-,-,-,-,-,-,-,-,India,Colombo (SSC),18-Aug-06,ODI # 2405
22,32,23,1,0,95.65,4,caught,1,Bangladesh,Mohali,07-Oct-06,ODI # 2423
80,110,86,7,0,93.02,4,caught,1,Zimbabwe,Ahmedabad,10-Oct-06,ODI # 2425
DNB,-,-,-,-,-,-,-,2,West Indies,Mumbai (BS),14-Oct-06,ODI # 2428
39,49,47,5,0,82.97,4,caught,1,Pakistan,Jaipur,17-Oct-06,ODI # 2431
19*,39,32,2,0,59.37,4,not out,2,New Zealand,Mumbai (BS),20-Oct-06,ODI # 2433
0,9,9,0,0,0,4,caught,2,South Africa,Ahmedabad,24-Oct-06,ODI # 2435
