Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
4,-,9,0,0,44.44,4,bowled,2,Australia,Gros Islet,21-May-03,ODI # 2016
40,-,47,4,0,85.1,5,caught,2,Australia,Port of Spain,24-May-03,ODI # 2018
80,-,101,11,1,79.2,3,caught,1,Australia,Port of Spain,25-May-03,ODI # 2019
15,-,32,1,0,46.87,3,caught,2,Australia,St George's,30-May-03,ODI # 2020
75*,-,65,2,4,115.38,3,not out,2,Australia,St George's,01-Jun-03,ODI # 2021
64*,-,130,4,0,49.23,5,not out,2,Sri Lanka,Bridgetown,07-Jun-03,ODI # 2022
116,-,106,8,2,109.43,3,caught,1,Sri Lanka,Bridgetown,08-Jun-03,ODI # 2023
14,-,17,1,1,82.35,3,caught,2,Sri Lanka,Kingstown,11-Jun-03,ODI # 2024
113,105,82,14,3,137.8,3,run out,1,Zimbabwe,Bulawayo,22-Nov-03,ODI # 2065
2,12,9,0,0,22.22,3,lbw,1,Zimbabwe,Bulawayo,23-Nov-03,ODI # 2066
34,69,45,5,0,75.55,4,bowled,2,Zimbabwe,Harare,26-Nov-03,ODI # 2067
14,30,25,0,1,56,3,caught,1,Zimbabwe,Harare,29-Nov-03,ODI # 2069
41,77,42,5,2,97.61,3,bowled,2,Zimbabwe,Harare,30-Nov-03,ODI # 2070
2,22,16,0,0,12.5,3,lbw,2,South Africa,Cape Town,25-Jan-04,ODI # 2088
9,36,25,1,0,36,5,run out,2,South Africa,Port Elizabeth,28-Jan-04,ODI # 2090
15,45,30,1,0,50,5,caught,1,South Africa,Durban,30-Jan-04,ODI # 2092
59*,56,37,6,1,159.45,5,not out,2,South Africa,Centurion,01-Feb-04,ODI # 2094
11,15,11,1,0,100,3,caught,1,South Africa,Johannesburg,04-Feb-04,ODI # 2096
DNB,-,-,-,-,-,-,-,1,England,Port of Spain,24-Apr-04,ODI # 2121
37,60,41,3,0,90.24,5,caught,2,England,Gros Islet,01-May-04,ODI # 2125
57,95,68,4,0,83.82,5,caught,2,England,Gros Islet,02-May-04,ODI # 2126
8,33,28,1,0,28.57,5,caught,1,England,Bridgetown,05-May-04,ODI # 2127
36,20,22,6,1,163.63,5,hit wicket,1,New Zealand,Birmingham,26-Jun-04,ODI # 2134
32*,31,29,6,0,110.34,5,not out,2,England,Nottingham,27-Jun-04,ODI # 2135
6,29,22,0,0,27.27,5,bowled,1,England,Leeds,01-Jul-04,ODI # 2137
58,68,58,9,1,100,2,caught,1,New Zealand,Cardiff,03-Jul-04,ODI # 2138
10,14,12,0,0,83.33,4,caught,2,England,Lord's,06-Jul-04,ODI # 2140
TDNB,-,-,-,-,-,-,-,-,New Zealand,Southampton,08-Jul-04,ODI # 2141
30,49,41,1,0,73.17,4,lbw,2,New Zealand,Lord's,10-Jul-04,ODI # 2142
20,11,7,1,2,285.71,4,run out,1,Bangladesh,Southampton,15-Sep-04,ODI # 2175
49,109,85,5,0,57.64,4,bowled,2,South Africa,The Oval,18-Sep-04,ODI # 2178
31*,43,30,5,0,103.33,4,retired notout,2,Pakistan,Southampton,22-Sep-04,ODI # 2181
14,45,28,2,0,50,4,caught,2,England,The Oval,25-Sep-04,ODI # 2182
52,91,77,3,0,67.53,4,caught,1,Asia XI,Melbourne,10-Jan-05,ODI # 2203
58,112,68,6,0,85.29,4,caught,2,Australia,Melbourne,14-Jan-05,ODI # 2204
39,-,30,6,1,130,4,caught,1,Pakistan,Brisbane,19-Jan-05,ODI # 2206
6,-,16,0,0,37.5,4,caught,1,Australia,Brisbane,21-Jan-05,ODI # 2208
29,-,38,1,1,76.31,5,caught,2,Australia,Adelaide,26-Jan-05,ODI # 2212
156,176,138,12,5,113.04,4,bowled,1,Pakistan,Adelaide,28-Jan-05,ODI # 2213
19,-,20,4,0,95,4,caught,2,Pakistan,Perth,01-Feb-05,ODI # 2218
8,38,20,1,0,40,4,caught,1,South Africa,Kingston,07-May-05,ODI # 2241
0,8,4,0,0,0,4,caught,1,South Africa,Kingston,08-May-05,ODI # 2242
32,74,42,3,0,76.19,4,caught,2,South Africa,Bridgetown,11-May-05,ODI # 2243
22,-,45,3,0,48.88,4,caught,1,South Africa,Port of Spain,14-May-05,ODI # 2244
