Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
121,177,115,12,3,105.21,5,bowled,2,Australia,Hyderabad (Deccan),05-Oct-07,ODI # 2625
39,61,55,5,0,70.9,3,caught,1,Australia,Chandigarh,08-Oct-07,ODI # 2627
1,16,7,0,0,14.28,4,caught,1,Australia,Vadodara,11-Oct-07,ODI # 2629
6,10,11,1,0,54.54,5,lbw,2,Australia,Nagpur,14-Oct-07,ODI # 2631
15,47,26,2,0,57.69,4,caught,2,Australia,Mumbai,17-Oct-07,ODI # 2632
58,83,74,6,1,78.37,5,caught,2,Pakistan,Guwahati,05-Nov-07,ODI # 2643
34,54,44,3,0,77.27,5,caught,1,Pakistan,Mohali,08-Nov-07,ODI # 2644
77,130,95,4,3,81.05,4,caught,1,Pakistan,Kanpur,11-Nov-07,ODI # 2645
53*,85,65,4,1,81.53,5,not out,2,Pakistan,Gwalior,15-Nov-07,ODI # 2646
50,120,62,3,1,80.64,6,caught,2,Pakistan,Jaipur,18-Nov-07,ODI # 2647
2,14,11,0,0,18.18,4,caught,1,Sri Lanka,Brisbane,05-Feb-08,ODI # 2672
3,31,14,0,0,21.42,5,caught,2,Australia,Melbourne,10-Feb-08,ODI # 2675
6,3,3,1,0,200,6,caught,1,Sri Lanka,Canberra,12-Feb-08,ODI # 2676
26,65,44,3,1,59.09,5,caught,2,Australia,Adelaide,17-Feb-08,ODI # 2680
76,115,70,10,1,108.57,5,bowled,2,Sri Lanka,Adelaide,19-Feb-08,ODI # 2681
5,6,3,1,0,166.66,5,caught,2,Australia,Sydney,24-Feb-08,ODI # 2685
36,31,35,4,1,102.85,4,caught,2,Sri Lanka,Hobart,26-Feb-08,ODI # 2686
10,33,21,1,0,47.61,4,bowled,2,Australia,Sydney,02-Mar-08,ODI # 2688
38,27,38,2,2,100,4,caught,1,Australia,Brisbane,04-Mar-08,ODI # 2689
55,94,54,3,3,101.85,3,bowled,1,Pakistan,Dhaka,10-Jun-08,ODI # 2705
26,37,33,1,1,78.78,4,bowled,2,Bangladesh,Dhaka,12-Jun-08,ODI # 2706
56,83,59,5,1,94.91,5,caught,2,Pakistan,Dhaka,14-Jun-08,ODI # 2707
48,54,47,1,3,102.12,4,caught,2,Pakistan,Karachi,26-Jun-08,ODI # 2717
36*,52,35,2,2,102.85,5,not out,2,Bangladesh,Karachi,28-Jun-08,ODI # 2721
37,38,32,4,1,115.62,4,caught,1,Pakistan,Karachi,02-Jul-08,ODI # 2730
36*,48,31,3,1,116.12,5,not out,2,Sri Lanka,Karachi,03-Jul-08,ODI # 2732
0,2,2,0,0,0,4,bowled,2,Sri Lanka,Karachi,06-Jul-08,ODI # 2735
23,70,30,2,1,76.66,4,bowled,1,Sri Lanka,Dambulla,18-Aug-08,ODI # 2742
20,40,32,4,0,62.5,4,lbw,2,Sri Lanka,Dambulla,20-Aug-08,ODI # 2745
12,25,17,0,1,70.58,3,caught,1,Sri Lanka,Colombo (RPS),24-Aug-08,ODI # 2750
